id,fecha_siniestro,tipo_automovil,marca,modelo,lng,lat,day,month
31157,30-12-2010 00:00,Todo terreno,Ssangyong,Actyon xdi 4x2 (ay210),-58.4198526,-34.581720000000004,Thursday,December
31158,06-10-2010 00:00,Todo terreno,Suzuki,Grand vitara 1.6 glx ac,-74.6876127,-14.359001199999998,Wednesday,October
31162,04-01-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover,-78.4711238,-0.29389440000000006,Tuesday,January
31165,05-01-2011 00:00,Automovil,Chevrolet,Optra ii ls nb 1.6 mt ac,-70.5918986,-33.5670425,Wednesday,January
31168,06-01-2011 00:00,Automovil,Hyundai,Accent 1.3 l,-70.6285939,-33.452672899999996,Thursday,January
31169,07-01-2011 00:00,Todo terreno,Ssangyong,Rexton xt207,-58.7084982,-38.5532324,Friday,January
31171,08-01-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.6464016,-33.47760460000001,Saturday,January
31176,12-01-2011 00:00,Camioneta,Chevrolet,D-max cc 3.0d 4wd dab abs,-73.0269432,-36.8206732,Wednesday,January
31177,12-01-2011 00:00,Automovil,Toyota,Yaris gl,-1.699151973,37.67737915,Wednesday,January
31180,13-01-2011 00:00,Furgon,Hyundai,H1 2.4 hsv 7s at sr,-70.654485,-33.4079671,Thursday,January
31181,15-01-2011 00:00,Automovil,Nissan,Sentra 1.6 dx,-61.555294,10.6939295,Saturday,January
31189,15-01-2011 00:00,Automovil,Honda,Accord,-70.577949,-33.3886348,Saturday,January
31190,19-01-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover,-71.9185009,-37.0574009,Wednesday,January
31191,21-01-2011 00:00,Todo terreno,Kia motors,Sportage,-70.55762497,-33.4289258,Friday,January
31192,20-01-2011 00:00,Todo terreno,Toyota,Rav4 std,-4.5953106,36.56701279999999,Thursday,January
31194,20-01-2011 00:00,Automovil,Toyota,Yaris gl,-70.9458239,-53.1809132,Thursday,January
31195,22-01-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-55.885357,-27.422095000000002,Saturday,January
31196,22-01-2011 00:00,Automovil,Chevrolet,Optra ii ls nb 1.6 mt ac,-8.1401153,40.7117276,Saturday,January
31201,21-01-2011 00:00,Automovil,Kia motors,Pride 1.3 gl,-48.633509,-27.783587800000003,Friday,January
31206,25-01-2011 00:00,Automovil,Toyota,Yaris gl,-5.6605541,40.947774100000004,Tuesday,January
31207,27-01-2011 00:00,Todo terreno,Hyundai,Tucson 2.7 gls at 4wd,-70.6553604,-33.5407629,Thursday,January
31208,27-01-2011 00:00,Automovil,Toyota,Yaris gl,-99.2340229,28.423659000000004,Thursday,January
31209,27-01-2011 00:00,Camioneta,Toyota,Hilux,-70.5962392,-33.3917023,Thursday,January
31210,28-01-2011 00:00,Automovil,Nissan,Primera gx,-71.544321,-32.9719758,Friday,January
31211,31-01-2011 00:00,Automovil,Samsung,Sm3 le at,0.3378291,43.0661834,Monday,January
31214,31-01-2011 00:00,Automovil,Toyota,Corolla,-70.6185779,-33.5080072,Monday,January
31216,01-02-2011 00:00,Automovil,Subaru,Legacy 1.8 dl,-1.1910359,42.8028724,Tuesday,February
31217,03-02-2011 00:00,Automovil,Fiat,Uno 1.4 ie,-70.61494887,-33.43916347,Thursday,February
31219,06-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.57489791,-33.42569371,Sunday,February
31220,05-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.5042761,-33.3862252,Saturday,February
31223,10-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.60123486,-33.4274378,Thursday,February
31225,11-02-2011 00:00,Furgon,Citroen,Berlingo ii 1.4 600 k ac,-70.7310032,-33.40376675,Friday,February
31226,12-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.5990774,-33.4477806,Saturday,February
